Timesteps,Collisions,Steps Waited
1027,17,17
883,6,6
940,9,9
451,12,12
199,3,3
2795,8,8
1309,2,2
2745,18,18
248,11,11
178,7,7
3190,14,14
680,8,8
579,14,14
334,4,4
421,4,4
394,7,7
2534,21,21
547,3,3
4925,25,25
285,7,7
1037,2,2
1404,16,16
427,3,3
169,3,3
1661,12,12
2244,10,10
2765,14,14
3065,13,13
2790,7,7
4305,27,27
3004,23,23
1379,9,9
682,10,10
3624,25,25
564,5,5
6043,23,23
3623,19,19
3409,24,24
809,9,9
3720,16,16
3281,15,15
1954,14,14
1936,10,10
2921,13,13
619,8,8
563,1,1
1700,13,13
1976,17,17
146,4,4
2382,13,13
1013,10,10
6940,45,45
2746,20,20
611,12,12
1898,7,7
219,5,5
580,4,4
735,5,5
629,14,14
1635,16,16
246,5,5
212,0,0
2976,18,18
6132,26,26
223,8,8
2738,10,10
2547,13,13
1482,6,6
1569,13,13
2620,19,19
2256,15,15
1983,11,11
4409,23,23
3594,11,11
2595,11,11
3294,17,17
1679,18,18
2698,22,22
1612,13,13
3122,9,9
391,3,3
922,11,11
2024,5,5
1085,3,3
1938,7,7
750,12,12
1646,12,12
279,12,12
2590,7,7
3924,7,7
2122,15,15
240,7,7
1596,10,10
1423,13,13
4053,18,18
3500,15,15
432,7,7
504,4,4
2558,17,17
142,3,3
2448,16,16
2454,17,17
568,5,5
6657,30,30
2960,14,14
1013,7,7
966,18,18
944,6,6
426,3,3
5967,35,35
1933,11,11
2587,24,24
2965,16,16
3089,11,11
2425,3,3
829,9,9
4095,22,22
1785,5,5
2295,9,9
931,3,3
2024,11,11
1126,21,21
213,7,7
336,3,3
3399,22,22
1275,13,13
446,16,16
1142,14,14
1667,9,9
639,9,9
451,3,3
1688,6,6
1229,26,26
1702,21,21
944,15,15
178,5,5
5236,25,25
2015,6,6
2185,18,18
1081,9,9
1300,1,1
208,4,4
1078,5,5
3544,11,11
478,12,12
765,11,11
2486,21,21
680,6,6
932,10,10
668,22,22
3271,15,15
185,5,5
1160,3,3
552,1,1
1529,20,20
1871,14,14
436,7,7
3496,22,22
445,6,6
907,8,8
366,4,4
1571,7,7
745,1,1
279,6,6
543,7,7
862,9,9
552,6,6
245,11,11
5694,27,27
1918,22,22
577,13,13
1124,13,13
1237,13,13
203,3,3
523,7,7
1252,13,13
7966,53,53
398,8,8
441,7,7
819,8,8
324,4,4
3611,24,24
1449,11,11
751,6,6
3028,27,27
1942,25,25
732,11,11
452,9,9
1307,18,18
1051,8,8
1114,8,8
1549,9,9
1140,5,5
2764,10,10
2155,16,16
2048,7,7
2494,15,15
1216,6,6
985,3,3
2246,27,27
2177,11,11
839,14,14
336,6,6
4937,19,19
1808,17,17
3394,25,25
3806,16,16
710,11,11
822,17,17
3587,22,22
250,2,2
362,8,8
2347,28,28
3044,14,14
503,10,10
1255,22,22
1797,17,17
1294,9,9
1726,10,10
3285,14,14
939,8,8
1719,14,14
276,2,2
726,6,6
3105,12,12
3884,3,3
1223,8,8
666,3,3
3801,26,26
779,7,7
5579,36,36
228,2,2
3428,23,23
6489,26,26
701,5,5
4933,20,20
361,7,7
779,7,7
3043,11,11
1838,7,7
2998,24,24
3406,20,20
1231,10,10
2698,13,13
573,3,3
1336,12,12
1342,16,16
550,15,15
1493,4,4
789,4,4
2531,21,21
10031,34,34
2088,8,8
2549,4,4
1452,6,6
2395,16,16
344,14,14
725,15,15
1232,13,13
3910,16,16
2562,18,18
1979,9,9
1350,10,10
4347,24,24
369,5,5
1238,13,13
111,7,7
2221,5,5
380,7,7
340,12,12
483,0,0
2954,19,19
255,14,14
3714,9,9
533,5,5
2112,17,17
2767,20,20
165,2,2
1204,9,9
369,4,4
2103,12,12
2728,12,12
2157,9,9
706,15,15
4484,20,20
2031,12,12
1236,29,29
1705,19,19
516,11,11
3281,15,15
855,4,4
1472,13,13
2438,22,22
231,3,3
3145,16,16
6634,21,21
1411,14,14
4192,8,8
2215,15,15
2698,14,14
588,10,10
2323,10,10
3963,20,20
4152,23,23
241,3,3
1439,8,8
9045,37,37
482,8,8
4712,26,26
4011,17,17
3045,8,8
3270,17,17
2595,11,11
3816,20,20
933,5,5
1896,7,7
3768,16,16
2619,30,30
1317,6,6
1559,5,5
1209,10,10
2810,18,18
7513,35,35
331,3,3
764,16,16
1760,8,8
1932,3,3
1981,18,18
382,6,6
1980,3,3
1024,12,12
2589,13,13
2784,13,13
876,7,7
1000,20,20
922,6,6
3928,20,20
3180,13,13
2576,12,12
2249,10,10
2382,12,12
294,12,12
2953,9,9
369,0,0
416,11,11
3667,19,19
818,14,14
3364,11,11
2157,5,5
544,9,9
3723,20,20
1486,6,6
3406,22,22
2643,28,28
2532,25,25
2038,21,21
4133,11,11
2494,21,21
813,10,10
4322,24,24
5652,19,19
361,7,7
1823,14,14
513,7,7
1331,7,7
2449,14,14
478,12,12
1372,11,11
1400,8,8
3292,13,13
314,6,6
1148,9,9
2646,19,19
158,2,2
563,14,14
272,12,12
1308,8,8
2843,15,15
902,19,19
2102,12,12
1945,13,13
736,10,10
1438,13,13
359,10,10
3054,15,15
809,3,3
872,15,15
1658,13,13
1495,12,12
350,3,3
2176,8,8
2000,17,17
1386,9,9
1003,5,5
211,2,2
1218,5,5
916,13,13
939,12,12
2023,19,19
2929,5,5
2732,4,4
5061,17,17
1143,17,17
834,16,16
877,5,5
5148,17,17
1265,11,11
538,2,2
1139,6,6
525,12,12
1343,6,6
3545,29,29
921,5,5
6440,26,26
1606,6,6
735,1,1
5139,19,19
698,4,4
2652,24,24
1028,12,12
2746,15,15
1043,10,10
2150,30,30
648,4,4
347,7,7
3779,17,17
2600,14,14
973,4,4
2686,15,15
963,13,13
351,5,5
154,4,4
3285,13,13
5027,21,21
1247,13,13
607,6,6
2210,15,15
3783,15,15
4850,19,19
2400,3,3
672,8,8
5664,14,14
3298,25,25
1099,16,16
599,13,13
2288,11,11
1302,14,14
2768,14,14
170,1,1
492,6,6
1229,9,9
647,14,14
2156,13,13
675,5,5
1806,22,22
1355,3,3
1777,13,13
1550,11,11
1098,13,13
2108,10,10
4081,13,13
308,3,3
297,7,7
218,3,3
1154,4,4
5046,34,34
866,14,14
750,8,8
1128,4,4
1611,9,9
1209,13,13
2656,13,13
2380,17,17
3681,17,17
2180,9,9
3704,14,14
3807,15,15
1093,9,9
305,3,3
776,5,5
1140,7,7
1102,7,7
2431,7,7
2794,19,19
1574,13,13
1142,9,9
2241,8,8
7869,27,27
726,1,1
1123,7,7
869,7,7
1114,10,10
1842,11,11
2014,5,5
3651,15,15
3013,15,15
6499,22,22
1832,9,9
1659,13,13
3388,23,23
1260,14,14
2341,10,10
1312,14,14
410,2,2
