Timesteps,Collisions,Steps Waited
1565,6,0
540,13,0
1175,9,1
1733,15,0
1719,8,0
3136,16,0
5988,24,0
2067,9,1
176,9,0
1617,14,0
695,4,1
1932,11,0
654,4,0
10237,30,0
1300,14,0
1498,13,0
1564,4,0
2865,13,0
1551,11,0
956,6,0
215,10,0
800,9,0
1342,7,0
1950,4,0
3359,15,1
3024,10,0
954,9,0
172,3,1
2623,14,0
376,6,1
1459,13,0
757,8,1
1084,9,0
2514,10,1
830,14,0
3720,22,1
1050,11,0
546,2,1
823,8,1
1689,19,1
3211,20,0
1258,12,1
4696,9,0
372,13,1
507,12,0
1187,5,1
4427,18,0
349,5,0
1948,8,0
1382,14,0
651,8,0
2734,4,0
779,8,1
610,7,0
570,6,0
2797,5,0
10133,30,0
526,15,1
432,0,0
663,16,0
2391,7,0
595,6,1
2119,11,0
2163,10,0
3664,21,0
417,6,1
590,10,1
1104,10,0
2765,20,0
850,15,0
3273,13,1
737,6,0
1165,12,1
1129,11,1
1551,10,0
1422,6,1
4196,14,0
300,9,0
702,6,1
2328,10,0
1188,14,0
710,2,0
908,6,0
1838,2,0
770,7,0
501,15,0
2459,8,1
1474,4,0
707,11,1
2526,10,1
3699,9,0
958,9,1
2834,10,0
1708,17,0
1036,6,0
511,4,0
2616,11,1
765,12,1
1663,5,0
1408,5,0
3191,22,1
1356,10,0
417,8,0
2770,8,0
686,12,0
245,10,1
1723,12,0
370,4,1
1547,11,0
385,6,0
3008,11,0
1321,3,0
1140,8,0
172,5,0
1468,4,1
618,6,0
5818,24,0
1876,13,0
331,3,0
196,7,0
4418,25,0
1087,7,0
1756,9,0
1308,6,0
2890,10,0
2268,5,1
6057,24,0
306,8,0
745,5,1
366,3,0
3720,6,0
4066,21,0
2076,12,1
1221,10,0
169,7,0
5602,15,0
1917,14,0
9515,29,0
297,7,0
1092,11,0
1209,17,1
877,2,0
1530,6,0
2778,16,0
1940,12,1
3152,14,0
1466,15,1
2255,8,0
712,12,2
595,5,1
878,9,0
1916,17,0
2890,4,0
535,9,1
2552,18,1
1431,6,0
606,7,0
1347,7,1
2516,16,0
748,5,0
2094,8,1
719,8,1
1163,8,0
701,9,1
1142,3,0
378,9,0
2866,8,0
1286,7,1
2011,10,0
1856,8,0
1678,8,0
1464,11,0
894,9,1
5047,16,0
1589,10,0
3309,17,0
4796,17,0
865,9,0
1301,14,1
546,5,0
226,4,1
3562,22,0
2418,17,0
1589,18,1
1555,7,0
471,5,0
2088,13,0
311,5,1
592,1,0
333,5,0
1436,12,0
2680,23,1
2396,13,0
286,9,1
1050,8,0
1908,10,0
466,6,0
2299,14,1
2133,16,0
1077,13,1
503,12,0
480,14,0
3275,18,1
1783,13,1
2173,16,1
224,4,1
3560,16,0
2943,12,1
1077,8,1
698,3,0
621,3,0
1967,9,0
559,7,1
1348,13,0
238,4,0
684,5,0
2622,8,0
3338,8,0
3783,16,0
3209,13,1
1497,5,0
2650,7,0
3768,17,0
5356,27,1
1715,8,0
1675,12,1
5475,19,1
5554,18,0
195,6,0
2492,7,0
5753,17,1
477,1,0
2704,11,0
1189,4,0
994,15,1
138,1,1
2000,12,0
1054,9,0
2152,12,0
2162,13,0
1930,14,0
3014,16,0
1090,10,0
510,8,0
1811,7,0
1515,14,0
2025,15,1
2388,9,1
4290,14,0
6706,25,1
2270,13,0
1618,7,0
374,9,1
221,5,1
1167,7,0
3943,9,0
1507,19,0
2675,6,0
3389,12,0
5506,20,0
910,5,1
2516,12,0
1282,6,0
546,1,0
155,2,0
1238,7,0
