Timesteps,Collisions,Steps Waited
1064,7,7
4338,7,7
450,3,3
2904,5,5
1899,11,11
305,5,5
302,3,3
3352,14,14
525,1,1
705,2,2
909,6,6
318,1,1
3326,5,5
3318,12,12
93,0,0
4214,11,11
1218,1,1
694,6,6
694,3,3
613,4,4
872,1,1
5322,10,10
1199,1,1
1084,0,0
1074,6,6
419,1,1
1244,5,5
2284,11,11
498,0,0
3091,9,9
1289,8,8
4098,10,10
1745,5,5
1841,5,5
6260,20,20
2202,5,5
3026,4,4
380,3,3
2019,8,8
1360,6,6
3778,15,15
999,3,3
476,2,2
612,0,0
1726,5,5
2741,8,8
682,1,1
1297,9,9
1832,1,1
2272,5,5
3018,2,2
654,5,5
1035,7,7
991,2,2
5322,23,23
123,0,0
743,2,2
914,1,1
1193,4,4
881,4,4
3305,8,8
4146,9,9
3160,5,5
1290,1,1
383,0,0
7716,10,10
1151,1,1
3269,9,9
762,4,4
3772,5,5
544,2,2
1748,7,7
2563,9,9
945,1,1
1203,6,6
1554,3,3
4335,13,13
1120,3,3
3115,5,5
2252,3,3
3513,7,7
1834,5,5
858,11,11
182,1,1
736,5,5
1183,7,7
3938,13,13
454,0,0
972,7,7
1673,1,1
207,0,0
1004,3,3
625,1,1
1430,4,4
1643,5,5
126,2,2
883,1,1
3566,6,6
4469,9,9
231,2,2
2473,2,2
4776,8,8
458,11,11
876,5,5
1389,0,0
2018,5,5
1527,1,1
825,3,3
812,1,1
1279,4,4
1755,10,10
1087,3,3
800,2,2
2275,4,4
1317,8,8
2561,8,8
999,9,9
811,4,4
850,0,0
1682,14,14
1589,4,4
966,5,5
2079,7,7
335,3,3
330,2,2
2720,6,6
679,1,1
2783,4,4
1187,6,6
2202,5,5
1202,4,4
3602,6,6
1108,4,4
2272,3,3
4908,10,10
172,0,0
3165,4,4
2212,9,9
1446,4,4
2454,7,7
163,4,4
1314,3,3
2884,9,9
1153,14,14
1009,4,4
4683,8,8
5126,9,9
1187,2,2
479,4,4
1436,0,0
1652,8,8
610,3,3
572,10,10
733,2,2
2318,3,3
4387,6,6
821,2,2
1677,2,2
2884,0,0
2116,10,10
613,2,2
1148,6,6
3804,9,9
1169,4,4
1808,9,9
1222,11,11
1242,8,8
281,3,3
181,0,0
532,5,5
4332,6,6
462,1,1
4312,13,13
1177,4,4
1962,7,7
1685,4,4
2164,9,9
4337,4,4
604,6,6
3964,8,8
328,3,3
901,4,4
358,3,3
576,1,1
310,0,0
1274,3,3
1223,1,1
2359,2,2
1641,5,5
702,0,0
1699,6,6
4077,5,5
549,0,0
429,3,3
169,1,1
2186,4,4
1724,6,6
2949,8,8
1158,4,4
1236,6,6
6496,17,17
2004,4,4
2691,11,11
1412,7,7
5915,8,8
669,2,2
2500,2,2
2426,12,12
3319,16,16
2335,7,7
879,3,3
1257,2,2
1510,6,6
1091,6,6
2412,7,7
2479,7,7
451,3,3
961,3,3
745,2,2
1935,9,9
248,3,3
297,1,1
1169,2,2
859,3,3
374,9,9
313,0,0
2391,6,6
425,0,0
512,3,3
1203,7,7
1211,5,5
409,9,9
1106,4,4
1050,13,13
4907,10,10
1227,5,5
3259,9,9
289,5,5
966,3,3
1052,6,6
2774,7,7
982,4,4
1793,12,12
1969,10,10
929,0,0
2048,4,4
1164,4,4
427,3,3
647,7,7
1889,0,0
2622,6,6
2590,4,4
1965,5,5
1187,4,4
637,1,1
333,6,6
2020,7,7
4910,15,15
1325,5,5
1993,5,5
1200,0,0
1963,7,7
6540,15,15
793,7,7
2657,14,14
4128,12,12
1546,6,6
1978,8,8
1005,6,6
2296,6,6
531,3,3
560,5,5
674,4,4
1614,7,7
1267,2,2
2141,4,4
4371,10,10
373,6,6
2504,8,8
541,0,0
1166,6,6
458,3,3
394,3,3
3892,12,12
2965,3,3
1621,3,3
187,2,2
589,11,11
3213,8,8
3166,14,14
5322,15,15
2663,4,4
1339,9,9
855,1,1
1713,4,4
2718,4,4
2802,6,6
2000,3,3
446,3,3
1046,6,6
4839,7,7
1486,6,6
5347,14,14
365,3,3
1792,14,14
9465,16,16
3256,4,4
311,7,7
445,5,5
2945,6,6
142,9,9
2133,10,10
3202,6,6
3332,12,12
1642,11,11
2179,7,7
2422,15,15
486,0,0
2272,11,11
1113,2,2
450,2,2
6263,12,12
979,4,4
969,8,8
1492,11,11
1344,2,2
1391,4,4
1930,4,4
667,2,2
1306,3,3
186,0,0
9023,15,15
1078,1,1
716,4,4
6786,14,14
712,0,0
886,4,4
4599,10,10
951,4,4
490,2,2
2898,4,4
413,1,1
439,1,1
2432,7,7
673,6,6
1665,4,4
1661,4,4
3236,10,10
1676,6,6
2502,2,2
861,3,3
4103,11,11
1192,1,1
1276,1,1
303,2,2
1672,7,7
2550,8,8
4284,7,7
512,1,1
2892,5,5
420,2,2
744,3,3
486,2,2
1664,1,1
2936,10,10
501,1,1
1146,8,8
805,7,7
3170,5,5
1871,9,9
10708,14,14
459,3,3
553,6,6
1651,5,5
1196,6,6
883,1,1
579,4,4
702,4,4
1924,5,5
469,4,4
230,0,0
1196,2,2
7787,17,17
1727,4,4
3223,19,19
2597,4,4
344,3,3
1758,3,3
1645,4,4
5795,15,15
2647,3,3
290,4,4
4839,5,5
731,2,2
2179,6,6
677,8,8
291,1,1
98,0,0
1784,4,4
1400,8,8
1006,5,5
4550,10,10
3753,7,7
3964,5,5
2271,5,5
475,1,1
839,7,7
1448,7,7
