Timesteps,Collisions,Steps Waited
168,3,3
3417,11,11
1770,6,6
930,4,4
587,4,4
1061,3,3
409,4,4
1121,4,4
709,5,5
1322,3,3
1684,7,7
1114,4,4
3631,8,8
612,5,5
455,1,1
631,1,1
1116,3,3
552,6,6
237,1,1
1293,4,4
1672,2,2
596,1,1
1390,3,3
2289,8,8
1079,9,9
871,2,2
481,9,9
939,0,0
759,4,4
1066,3,3
465,3,3
1194,5,5
490,2,2
2319,6,6
343,9,9
614,5,5
1996,6,6
810,8,8
7041,14,14
3921,7,7
5008,13,13
584,2,2
3175,3,3
424,0,0
283,8,8
1424,2,2
827,3,3
415,1,1
376,5,5
5747,8,8
1221,5,5
678,3,3
3609,7,7
1654,8,8
540,7,7
875,2,2
415,5,5
687,5,5
311,5,5
1043,4,4
1362,7,7
3915,10,10
421,8,8
2200,9,9
1136,9,9
3305,8,8
556,4,4
4874,13,13
455,2,2
1877,9,9
701,4,4
20669,23,23
2992,3,3
1097,4,4
1373,1,1
1359,6,6
602,5,5
3667,14,14
4471,6,6
1443,1,1
456,5,5
2980,10,10
1053,1,1
1075,4,4
1647,4,4
5504,16,16
2357,6,6
1669,5,5
584,2,2
1456,4,4
1069,3,3
2342,4,4
3388,6,6
2021,8,8
1713,5,5
837,4,4
636,5,5
3638,7,7
671,3,3
5696,14,14
754,8,8
1717,4,4
2852,12,12
2974,6,6
198,5,5
1641,1,1
886,2,2
614,7,7
3974,7,7
217,2,2
2283,8,8
1549,8,8
1661,3,3
1942,3,3
1835,6,6
648,3,3
3089,9,9
411,6,6
1172,8,8
1744,7,7
2098,2,2
3276,8,8
1121,5,5
2460,7,7
1646,7,7
1876,4,4
1592,0,0
3203,4,4
572,5,5
661,6,6
1809,7,7
1656,3,3
407,3,3
1363,1,1
1421,2,2
1842,3,3
8290,11,11
6137,15,15
824,0,0
2122,8,8
1018,3,3
2442,9,9
959,0,0
1381,1,1
922,1,1
423,2,2
770,3,3
1702,5,5
1963,4,4
1466,2,2
1282,7,7
1640,3,3
837,5,5
511,5,5
1134,5,5
1495,5,5
3144,6,6
1399,7,7
414,4,4
2099,4,4
362,2,2
864,4,4
1305,4,4
185,6,6
3226,10,10
1611,3,3
6514,17,17
2135,12,12
303,2,2
2185,4,4
1480,3,3
1082,5,5
520,0,0
1125,8,8
1461,5,5
1830,1,1
836,3,3
346,7,7
1283,5,5
681,1,1
2020,0,0
1336,5,5
1106,4,4
439,5,5
389,2,2
2429,1,1
3011,3,3
3440,16,16
130,1,1
4808,8,8
1426,2,2
2138,5,5
2259,6,6
1598,16,16
520,3,3
2237,2,2
930,1,1
705,5,5
1929,4,4
757,6,6
710,0,0
2136,11,11
4983,5,5
569,5,5
4757,4,4
2701,10,10
1878,8,8
2337,1,1
408,4,4
446,2,2
1931,8,8
1142,5,5
1228,8,8
508,9,9
2943,5,5
4400,2,2
655,0,0
1889,8,8
155,1,1
827,8,8
276,2,2
784,4,4
163,6,6
3692,4,4
415,1,1
1177,3,3
610,4,4
636,2,2
3233,4,4
3358,1,1
2145,9,9
4657,6,6
169,0,0
187,1,1
666,4,4
305,2,2
955,4,4
163,1,1
986,7,7
723,2,2
307,6,6
3020,9,9
849,2,2
351,4,4
3430,16,16
1482,2,2
967,1,1
3140,4,4
1894,2,2
2080,6,6
484,5,5
1359,11,11
7826,27,27
3448,5,5
2790,8,8
2187,2,2
296,7,7
