Timesteps,Collisions,Steps Waited,Real-Time Elapsed
227,13,227,0.23603367805480957
2407,7,2407,0.34308886528015137
109,8,109,0.13002991676330566
486,15,486,0.19953083992004395
143,5,143,0.22303056716918945
559,11,559,0.2517890930175781
646,17,646,0.17325115203857422
621,14,621,0.13350653648376465
323,10,323,0.1580195426940918
553,5,553,0.12250447273254395
254,11,254,0.13951683044433594
118,1,118,0.1260204315185547
937,2,937,0.2180321216583252
148,13,148,0.27640318870544434
1012,17,1012,0.2885408401489258
203,11,203,0.19303297996520996
117,10,117,0.12958407402038574
156,19,156,0.2145838737487793
170,5,170,0.16602826118469238
390,9,390,0.18902993202209473
291,5,291,0.17102336883544922
538,11,538,0.2530324459075928
172,14,172,0.17203664779663086
1280,9,1280,0.22703242301940918
545,10,545,0.16103172302246094
161,5,161,0.2200307846069336
790,11,790,0.14076733589172363
40,4,40,0.13842177391052246
54,6,54,0.3077735900878906
747,5,747,0.2555375099182129
277,12,277,0.16151952743530273
109,9,109,0.1444377899169922
46,3,46,0.1600186824798584
519,14,519,0.2050318717956543
60,9,60,0.1415119171142578
55,9,55,0.2226240634918213
630,21,630,0.2740316390991211
595,15,595,0.1800243854522705
348,6,348,0.09760737419128418
282,12,282,0.2001042366027832
123,5,123,0.15802264213562012
328,10,328,0.20302844047546387
709,12,709,0.23753929138183594
457,13,457,0.18901896476745605
92,4,92,0.23953866958618164
1210,19,1210,0.18859577178955078
330,14,330,0.16952276229858398
519,10,519,0.16350841522216797
258,13,258,0.18902349472045898
541,4,541,0.18447208404541016
268,8,268,0.15909028053283691
312,14,312,0.19403338432312012
75,4,75,0.23458027839660645
187,10,187,0.25306057929992676
112,11,112,0.19804096221923828
447,10,447,0.1775202751159668
150,5,150,0.1775193214416504
184,4,184,0.13503360748291016
559,6,559,0.15351653099060059
242,13,242,0.19402766227722168
104,7,104,0.32605981826782227
393,15,393,0.16651415824890137
53,9,53,0.22853660583496094
147,8,147,0.14751863479614258
1168,21,1168,0.17702889442443848
627,12,627,0.12952375411987305
345,17,345,0.17459321022033691
147,8,147,0.1255183219909668
504,18,504,0.2510237693786621
437,10,437,0.1660301685333252
144,17,144,0.2130296230316162
284,15,284,0.15201711654663086
75,2,75,0.20347809791564941
864,16,864,0.3305356502532959
727,24,727,0.2428121566772461
630,19,630,0.23662996292114258
115,10,115,0.23102188110351562
137,15,137,0.1840212345123291
1095,17,1095,0.22978615760803223
93,13,93,0.16207551956176758
467,8,467,0.18555641174316406
136,8,136,0.290424108505249
203,16,203,0.3050875663757324
384,17,384,0.15207457542419434
255,10,255,0.11104846000671387
144,9,144,0.2170264720916748
368,15,368,0.24152636528015137
144,15,144,0.17251849174499512
135,6,135,0.14201712608337402
1602,9,1602,0.25002098083496094
810,12,810,0.25452542304992676
397,18,397,0.23855352401733398
187,9,187,0.17911601066589355
369,8,369,0.15676498413085938
557,9,557,0.1425168514251709
468,17,468,0.13602304458618164
964,8,964,0.21002602577209473
394,27,394,0.21302080154418945
835,13,835,0.19103288650512695
159,5,159,0.242537260055542
182,16,182,0.13951420783996582
512,14,512,0.18703341484069824
162,11,162,0.16321158409118652
312,15,312,0.22722172737121582
276,6,276,0.21105742454528809
500,5,500,0.13802838325500488
274,10,274,0.19801592826843262
429,17,429,0.2310166358947754
741,4,741,0.15101957321166992
135,4,135,0.13051390647888184
93,4,93,0.22203326225280762
331,12,331,0.16102957725524902
1766,17,1766,0.29354143142700195
179,7,179,0.16402649879455566
326,17,326,0.23836922645568848
981,10,981,0.24303150177001953
63,8,63,0.1975233554840088
129,15,129,0.125504732131958
1054,20,1054,0.2550315856933594
98,7,98,0.16102242469787598
221,10,221,0.1870265007019043
941,27,941,0.26354360580444336
107,18,107,0.16051483154296875
