Timesteps,Collisions,Steps Waited,Real-Time Elapsed
592,14,592,5.646803617477417
3110,13,3110,3.058671712875366
1702,17,1702,3.222266912460327
1038,11,1038,2.5068063735961914
756,10,756,2.2878973484039307
530,18,530,3.3829309940338135
3636,22,3636,2.8973217010498047
2111,14,2111,3.9712255001068115
1055,36,1055,4.324496030807495
777,7,777,3.387794017791748
1727,27,1727,4.078933238983154
949,10,949,2.4738006591796875
3808,28,3808,3.8017194271087646
557,15,557,2.5349929332733154
1749,15,1749,3.347036361694336
3228,15,3228,3.178745746612549
209,14,209,2.5656635761260986
195,9,195,4.122103929519653
1044,7,1044,2.1149191856384277
192,9,192,2.795151472091675
1282,22,1282,2.914428949356079
5031,9,5031,3.1751880645751953
928,6,928,3.6336777210235596
130,7,130,3.203460454940796
1791,19,1791,3.4796581268310547
2246,21,2246,4.48397421836853
2205,11,2205,3.5080971717834473
351,6,351,4.13252067565918
2153,23,2153,4.686310529708862
2087,12,2087,5.221810340881348
624,11,624,3.417830467224121
420,14,420,5.135310173034668
1026,18,1026,3.4748926162719727
3254,20,3254,2.9225127696990967
483,11,483,4.146827220916748
871,26,871,2.041090726852417
1099,17,1099,2.6407241821289062
1063,21,1063,2.584679126739502
130,11,130,2.9450337886810303
1140,6,1140,3.4544718265533447
2464,15,2464,2.8894894123077393
3379,23,3379,2.348900556564331
486,10,486,2.342366933822632
3664,17,3664,2.8517961502075195
712,16,712,3.4411237239837646
1738,16,1738,3.902460813522339
1240,11,1240,3.780097246170044
1918,17,1918,2.238863706588745
738,20,738,2.814643621444702
2521,18,2521,3.0127604007720947
430,15,430,4.375307559967041
1198,15,1198,2.58860445022583
302,14,302,1.7243385314941406
489,9,489,2.9402456283569336
1508,10,1508,4.516650915145874
2222,21,2222,3.1135969161987305
1682,14,1682,4.801433086395264
1526,19,1526,4.398747444152832
926,7,926,4.286932945251465
1812,8,1812,2.7971017360687256
1428,11,1428,3.0137014389038086
854,25,854,2.8604135513305664
276,8,276,3.1996891498565674
1361,7,1361,2.8649094104766846
1889,30,1889,2.573251247406006
555,7,555,3.362661600112915
4033,23,4033,3.43103289604187
2377,24,2377,2.7221274375915527
1742,11,1742,3.2236344814300537
1527,12,1527,2.854066848754883
750,17,750,3.8714358806610107
1388,18,1388,3.562727212905884
2890,14,2890,3.3124451637268066
870,20,870,3.1513662338256836
218,10,218,4.3489885330200195
966,21,966,4.138981819152832
457,12,457,2.2983222007751465
4253,13,4253,3.6753406524658203
2726,11,2726,3.3582966327667236
975,24,975,2.6752676963806152
1756,21,1756,2.7821593284606934
1878,14,1878,6.263042449951172
2427,11,2427,1.883746862411499
423,9,423,2.5338447093963623
1286,27,1286,4.5272698402404785
3444,29,3444,4.011792421340942
2582,22,2582,4.93494439125061
1147,8,1147,1.9429779052734375
648,5,648,2.0324387550354004
2680,28,2680,3.6816604137420654
1110,9,1110,3.033449411392212
2942,27,2942,2.9422600269317627
1361,13,1361,3.674027442932129
2070,26,2070,2.6646039485931396
682,23,682,2.6250150203704834
3777,11,3777,3.0536446571350098
1690,24,1690,3.242218017578125
5436,9,5436,4.787580251693726
4163,14,4163,3.7926297187805176
10912,12,10912,5.502930402755737
1387,9,1387,2.0709211826324463
5190,23,5190,3.7666242122650146
