Timesteps,Collisions,Steps Waited
4447,150,150
2805,81,81
1310,36,36
542,18,18
1271,43,43
1210,33,33
1708,51,51
870,23,23
1068,42,42
218,4,4
402,4,4
349,8,8
811,17,17
2032,62,62
2257,91,91
578,15,15
1403,45,45
365,12,12
1353,40,40
210,6,6
1805,53,53
1215,45,45
5633,182,182
1157,26,26
1224,36,36
3042,85,85
1408,37,37
763,22,22
11945,375,375
1405,32,32
2980,89,89
1618,58,58
2335,74,74
4406,139,139
2468,75,75
1696,54,54
573,24,24
1252,32,32
3758,106,106
514,12,12
4337,127,127
1955,57,57
1622,54,54
331,11,11
1678,63,63
3116,101,101
157,3,3
641,22,22
394,15,15
2345,54,54
484,15,15
4104,130,130
2687,101,101
3004,88,88
432,16,16
142,3,3
2125,65,65
2378,80,80
1897,76,76
1608,59,59
968,31,31
1157,28,28
2719,85,85
961,23,23
3110,99,99
1413,39,39
2776,78,78
1268,42,42
889,21,21
2803,83,83
788,24,24
401,13,13
1762,56,56
328,6,6
2158,66,66
3589,111,111
2141,69,69
2483,66,66
2004,70,70
3235,92,92
1537,52,52
3597,99,99
1044,25,25
1423,50,50
647,28,28
1770,55,55
1852,54,54
181,3,3
335,9,9
3446,106,106
299,11,11
1547,40,40
744,17,17
3949,130,130
6294,205,205
1454,41,41
1121,36,36
332,16,16
517,14,14
141,1,1
663,12,12
641,17,17
3794,105,105
895,32,32
3201,95,95
397,9,9
1468,38,38
1990,64,64
746,23,23
601,23,23
2183,58,58
369,16,16
1511,45,45
591,17,17
1787,69,69
896,30,30
1917,51,51
2347,58,58
306,13,13
674,21,21
732,26,26
2002,51,51
3891,117,117
1347,42,42
1086,32,32
2834,83,83
5194,169,169
796,27,27
911,35,35
987,34,34
2216,68,68
3184,90,90
718,21,21
1795,50,50
834,29,29
351,13,13
1762,52,52
1206,46,46
2277,58,58
3768,103,103
670,24,24
631,28,28
2960,82,82
450,10,10
1497,45,45
5818,170,170
8264,239,239
706,22,22
2650,83,83
636,20,20
391,14,14
2392,64,64
1853,62,62
3324,93,93
770,28,28
824,19,19
7089,221,221
453,18,18
1332,40,40
409,14,14
1132,31,31
705,21,21
1760,39,39
658,21,21
5378,169,169
852,16,16
2164,70,70
851,30,30
1850,57,57
844,32,32
3410,89,89
1431,38,38
757,20,20
1704,52,52
359,14,14
1674,45,45
2267,65,65
498,17,17
665,22,22
1167,41,41
1477,56,56
3828,133,133
1106,32,32
2914,90,90
708,18,18
493,14,14
1726,51,51
2022,56,56
398,13,13
812,24,24
1747,63,63
1063,28,28
6862,212,212
495,18,18
1061,31,31
463,11,11
3150,83,83
233,6,6
2460,84,84
1659,52,52
1240,41,41
1555,46,46
643,24,24
1906,69,69
1453,39,39
153,2,2
9082,269,269
1358,36,36
3803,99,99
6077,174,174
658,15,15
632,27,27
1921,58,58
1113,43,43
1722,57,57
411,15,15
991,25,25
377,16,16
3412,111,111
1807,55,55
310,7,7
1927,70,70
806,27,27
426,19,19
557,9,9
1729,54,54
7133,216,216
2659,72,72
370,6,6
3139,98,98
1422,50,50
527,16,16
1446,37,37
3415,98,98
3131,76,76
756,27,27
1223,36,36
1275,48,48
363,6,6
302,8,8
3124,92,92
2782,71,71
2930,107,107
1236,28,28
2789,94,94
2706,71,71
2897,83,83
798,20,20
2119,76,76
559,11,11
2991,85,85
2781,97,97
4261,131,131
2904,72,72
2607,63,63
2475,68,68
4680,141,141
338,14,14
1129,40,40
844,27,27
3895,136,136
2828,84,84
434,12,12
576,18,18
1238,37,37
2180,61,61
284,5,5
750,16,16
4884,132,132
2575,83,83
7132,194,194
1866,65,65
484,13,13
1112,30,30
306,10,10
502,15,15
592,9,9
728,21,21
946,30,30
4580,121,121
1253,46,46
2987,85,85
669,25,25
538,11,11
2184,63,63
1385,44,44
416,8,8
454,14,14
823,29,29
268,8,8
919,26,26
2484,69,69
2652,81,81
344,13,13
502,21,21
576,10,10
327,8,8
1410,43,43
