Timesteps,Collisions,Steps Waited
329,5,5
1484,19,19
2380,19,19
313,4,4
1257,15,15
2144,22,22
3705,35,35
581,7,7
1684,16,16
3823,39,39
714,3,3
1888,23,23
1232,13,13
2344,23,23
1538,11,11
1354,15,15
4710,50,50
571,0,0
1797,12,12
170,4,4
2334,26,26
4439,45,45
284,2,2
3011,39,39
590,6,6
1203,14,14
9858,105,105
644,10,10
635,5,5
527,6,6
4680,54,54
9186,94,94
1849,11,11
1917,25,25
831,8,8
343,4,4
1220,6,6
1984,16,16
276,3,3
285,2,2
339,2,2
1716,14,14
7681,54,54
629,7,7
9489,114,114
3544,38,38
1881,20,20
1284,8,8
1487,17,17
2117,23,23
1629,13,13
3345,33,33
2441,29,29
1707,14,14
541,0,0
2479,11,11
3279,30,30
722,3,3
902,7,7
207,1,1
554,2,2
346,6,6
1007,8,8
654,8,8
3739,37,37
2715,25,25
267,5,5
1725,15,15
4691,51,51
481,2,2
553,10,10
3318,31,31
977,13,13
258,3,3
562,3,3
393,8,8
704,3,3
878,8,8
3225,22,22
1563,13,13
3279,31,31
4071,41,41
1593,12,12
255,9,9
1903,21,21
726,2,2
3163,41,41
1801,19,19
446,4,4
1218,12,12
2552,27,27
1269,9,9
398,5,5
1036,14,14
2197,26,26
733,9,9
2362,21,21
463,11,11
1016,5,5
2909,32,32
2034,18,18
341,8,8
519,4,4
1825,20,20
905,12,12
2711,37,37
589,5,5
2082,24,24
1100,11,11
1745,19,19
1249,13,13
2027,28,28
7859,94,94
1403,11,11
1092,8,8
320,4,4
5285,53,53
1408,6,6
244,4,4
3953,39,39
913,12,12
703,7,7
2049,23,23
1654,14,14
1609,18,18
5272,42,42
1612,17,17
3627,41,41
3662,39,39
726,7,7
3539,34,34
612,3,3
460,6,6
905,8,8
387,5,5
928,9,9
6899,71,71
1980,18,18
2500,22,22
788,5,5
268,4,4
2771,29,29
447,7,7
1561,19,19
494,5,5
999,19,19
1133,10,10
1539,18,18
848,7,7
1456,17,17
1000,10,10
552,6,6
406,2,2
4424,52,52
559,2,2
527,5,5
1093,11,11
1001,13,13
1402,9,9
1728,13,13
407,4,4
249,0,0
3094,25,25
4861,50,50
760,5,5
584,8,8
793,11,11
1180,14,14
3389,29,29
1999,24,24
1533,15,15
2097,33,33
1317,15,15
5135,51,51
11800,123,123
3107,33,33
4364,43,43
485,11,11
1672,21,21
346,1,1
2497,35,35
4166,49,49
3729,39,39
2772,28,28
2505,22,22
966,13,13
3266,34,34
310,2,2
280,3,3
3580,53,53
467,7,7
532,2,2
319,3,3
640,10,10
1426,8,8
3034,23,23
950,14,14
2652,24,24
676,3,3
1422,15,15
364,5,5
3162,27,27
1129,5,5
4561,38,38
1211,11,11
3130,43,43
669,8,8
1241,17,17
530,3,3
831,6,6
540,3,3
307,4,4
1111,21,21
1685,20,20
366,3,3
2138,16,16
3682,45,45
2910,25,25
614,9,9
1386,13,13
470,4,4
353,3,3
472,7,7
250,5,5
2074,13,13
970,11,11
284,2,2
433,1,1
2012,19,19
1207,8,8
4907,46,46
3069,28,28
344,2,2
2598,26,26
2119,33,33
7017,70,70
1274,15,15
3350,33,33
5638,68,68
1047,18,18
4038,35,35
1306,18,18
403,5,5
1075,18,18
1615,13,13
889,4,4
283,5,5
3631,33,33
1088,12,12
2388,24,24
604,3,3
3435,15,15
632,5,5
3047,25,25
1058,10,10
2382,30,30
571,6,6
566,5,5
2570,21,21
1297,8,8
3299,27,27
658,3,3
1353,14,14
2403,25,25
312,2,2
1930,13,13
2538,22,22
2183,28,28
874,10,10
1708,27,27
1898,18,18
4715,45,45
1775,17,17
1142,16,16
1744,13,13
901,11,11
126,0,0
804,5,5
421,4,4
471,5,5
3529,36,36
1955,22,22
3448,33,33
3071,36,36
1038,5,5
642,1,1
13202,131,131
3578,42,42
643,5,5
955,10,10
