Timesteps,Collisions,Steps Waited,Real-Time Elapsed
2554,23,2554,3.800475597381592
2057,11,2057,3.0598995685577393
878,11,878,3.013714075088501
448,17,448,3.967393398284912
2693,18,2693,3.1807148456573486
4122,12,4122,3.368475914001465
348,20,348,3.1787540912628174
4973,24,4973,3.546290397644043
2972,17,2972,2.795346260070801
1334,23,1334,2.6886649131774902
1449,24,1449,3.059091806411743
1214,9,1214,2.4403021335601807
6160,19,6160,3.0273263454437256
1230,12,1230,3.159658908843994
999,20,999,3.3835155963897705
1037,11,1037,3.407684326171875
3696,20,3696,3.2787559032440186
672,27,672,2.647195816040039
4169,22,4169,2.5771734714508057
523,14,523,1.0746252536773682
1003,11,1003,2.6994030475616455
1441,13,1441,3.3560068607330322
583,13,583,2.52475643157959
1891,12,1891,2.155817985534668
1393,19,1393,2.030521869659424
5044,19,5044,4.08448338508606
704,11,704,2.464893102645874
665,11,665,2.7251553535461426
957,15,957,1.5719268321990967
1126,17,1126,2.323617935180664
914,25,914,2.499631643295288
2820,14,2820,5.1030731201171875
3271,17,3271,3.7566440105438232
7674,27,7674,3.2372710704803467
1952,21,1952,3.395420551300049
994,14,994,3.199202299118042
1161,14,1161,2.0921008586883545
7216,21,7216,2.710991621017456
3083,23,3083,2.6186418533325195
1026,18,1026,2.749396562576294
1734,12,1734,2.0222277641296387
1036,16,1036,1.813842535018921
2386,19,2386,2.760037660598755
2797,20,2797,2.15263295173645
1881,15,1881,3.217028856277466
1486,21,1486,3.8573553562164307
2922,19,2922,3.8763840198516846
671,11,671,3.5113372802734375
965,13,965,3.333839178085327
3133,27,3133,3.0488643646240234
1848,18,1848,2.6492841243743896
754,12,754,2.3866665363311768
1763,23,1763,2.2547342777252197
2161,20,2161,2.5617308616638184
934,13,934,3.6165099143981934
1086,18,1086,2.702486991882324
414,12,414,2.6894993782043457
606,18,606,2.6142303943634033
1709,22,1709,4.000539302825928
979,16,979,2.945159673690796
134,1,134,3.173476219177246
1460,12,1460,2.3622703552246094
4592,16,4592,3.240025043487549
2931,14,2931,4.043476819992065
1303,17,1303,3.727935314178467
459,20,459,2.061549663543701
2241,27,2241,2.4465205669403076
2075,13,2075,3.206650733947754
185,7,185,3.127060890197754
405,10,405,2.2449722290039062
2469,33,2469,3.347627878189087
237,3,237,3.0843005180358887
993,5,993,3.016995429992676
164,13,164,3.7654354572296143
2509,22,2509,3.5940067768096924
1856,27,1856,4.0796825885772705
1797,18,1797,2.1337876319885254
3039,18,3039,4.255269765853882
1223,10,1223,2.262320041656494
1953,19,1953,2.3237762451171875
316,5,316,1.68924880027771
242,7,242,2.9977293014526367
1480,22,1480,2.807631254196167
211,11,211,2.535942554473877
1938,21,1938,2.0554845333099365
440,11,440,3.598524332046509
261,7,261,2.2219905853271484
4260,20,4260,3.1984329223632812
2175,14,2175,3.45920991897583
1016,30,1016,2.2135517597198486
221,8,221,2.3585898876190186
256,9,256,2.9178059101104736
4615,11,4615,5.4113147258758545
1666,23,1666,4.477611064910889
784,4,784,2.549075126647949
474,11,474,3.822373151779175
734,11,734,3.172267436981201
480,8,480,2.201611042022705
458,13,458,2.6817476749420166
1951,16,1951,4.7684619426727295
2254,20,2254,4.944342613220215
1550,14,1550,3.428354263305664
953,16,953,4.731473445892334
764,19,764,2.2729673385620117
3195,15,3195,3.3871958255767822
578,19,578,4.016535520553589
1950,19,1950,2.7792675495147705
934,6,934,1.9179456233978271
431,12,431,3.394315719604492
773,10,773,3.557387113571167
846,6,846,3.274512529373169
3068,19,3068,2.8235130310058594
1632,10,1632,2.0109190940856934
3484,14,3484,2.440960645675659
953,8,953,4.110041618347168
4514,15,4514,3.984276294708252
1373,16,1373,1.804713249206543
2543,25,2543,4.626362085342407
3078,17,3078,3.89281964302063
2079,18,2079,3.1543118953704834
294,13,294,2.9768073558807373
759,11,759,2.5061779022216797
676,10,676,4.028083562850952
3237,12,3237,3.9618072509765625
1126,19,1126,2.774416208267212
6082,10,6082,3.188917636871338
551,19,551,2.149641275405884
889,21,889,3.8721494674682617
397,11,397,3.444840431213379
4337,20,4337,2.4142446517944336
4133,12,4133,2.1576480865478516
868,11,868,3.4912455081939697
771,17,771,2.833125591278076
456,19,456,2.5593199729919434
414,6,414,1.8539118766784668
704,10,704,2.9054291248321533
521,10,521,4.964891672134399
5506,16,5506,3.3477365970611572
1222,7,1222,4.22791051864624
238,13,238,2.784067153930664
2472,22,2472,2.3930141925811768
2309,28,2309,2.481092691421509
1072,10,1072,3.686278820037842
671,7,671,2.391181707382202
2608,12,2608,2.757903575897217
2706,14,2706,4.950124740600586
732,32,732,2.5927622318267822
492,11,492,2.801285743713379
1299,23,1299,3.6796040534973145
706,5,706,2.572883367538452
980,16,980,2.2554163932800293
2453,21,2453,3.1504156589508057
4162,19,4162,2.6645708084106445
1629,15,1629,2.5935397148132324
821,8,821,2.624911069869995
2476,12,2476,2.907686471939087
5340,10,5340,2.5643298625946045
1623,13,1623,2.7139461040496826
1760,17,1760,2.647710084915161
913,15,913,4.220499277114868
427,14,427,3.3011889457702637
391,18,391,3.0298986434936523
964,20,964,2.649250030517578
414,12,414,2.9830384254455566
582,11,582,2.0526416301727295
1399,16,1399,1.9217636585235596
1112,14,1112,2.166501760482788
1629,25,1629,2.9316344261169434
1330,7,1330,2.9657351970672607
3177,25,3177,4.333101511001587
835,10,835,2.152998924255371
1458,12,1458,2.4822885990142822
3606,25,3606,3.0186872482299805
1016,11,1016,4.3111090660095215
496,10,496,2.4493870735168457
948,24,948,3.5137526988983154
1321,8,1321,3.0485410690307617
1462,7,1462,2.616854190826416
2162,18,2162,3.060093641281128
1998,12,1998,2.033782720565796
2622,17,2622,2.89007830619812
620,10,620,3.6541693210601807
6492,25,6492,3.2482352256774902
3911,19,3911,5.11789870262146
1953,24,1953,3.779921531677246
2868,18,2868,2.844882011413574
636,13,636,1.8817152976989746
633,9,633,4.159185886383057
666,13,666,3.1300313472747803
