Timesteps,Collisions,Steps Waited,Real-Time Elapsed
2349,29,2349,2.7727975845336914
432,12,432,2.4990761280059814
2935,40,2935,4.400259256362915
1804,32,1804,4.08086085319519
1516,22,1516,3.9432806968688965
332,4,332,4.265286207199097
1413,15,1413,3.8785057067871094
2387,20,2387,2.813385486602783
330,6,330,1.9697635173797607
1333,9,1333,1.7926678657531738
6532,21,6532,5.556290864944458
1597,24,1597,3.6635844707489014
1321,20,1321,4.085635185241699
2584,16,2584,3.969405174255371
508,13,508,2.8144922256469727
1844,33,1844,3.500814437866211
3972,29,3972,4.885592699050903
1699,22,1699,3.4991648197174072
4058,13,4058,3.364661931991577
1063,24,1063,2.7006211280822754
2213,18,2213,4.993682384490967
1082,11,1082,3.6015024185180664
3257,19,3257,4.3497021198272705
2818,22,2818,2.9636452198028564
3686,16,3686,4.591374158859253
1019,20,1019,3.051623582839966
281,9,281,5.602926731109619
7019,29,7019,4.474484443664551
2721,20,2721,4.227422714233398
729,16,729,4.6088385581970215
1371,16,1371,3.1735355854034424
892,11,892,3.7119133472442627
3542,36,3542,4.313963174819946
536,16,536,3.278705358505249
1647,14,1647,5.717783689498901
5885,16,5885,3.6555731296539307
315,10,315,3.013888359069824
2026,15,2026,3.2800323963165283
1204,20,1204,3.7154343128204346
666,25,666,2.752516746520996
713,24,713,2.4111061096191406
1277,12,1277,2.770747423171997
398,11,398,2.6352810859680176
1691,30,1691,3.1692116260528564
1010,12,1010,3.4886891841888428
3282,17,3282,3.489596366882324
3964,25,3964,5.0782201290130615
3262,22,3262,4.646256923675537
1577,12,1577,4.030792951583862
3068,21,3068,4.298838138580322
315,15,315,2.860651969909668
3020,23,3020,3.6058144569396973
174,13,174,2.8415143489837646
2327,15,2327,4.540050029754639
3211,16,3211,3.727522850036621
2792,18,2792,4.583137035369873
187,8,187,2.636340379714966
1041,6,1041,2.653487205505371
716,14,716,2.9422194957733154
1222,11,1222,2.721849203109741
360,14,360,3.9613077640533447
1091,25,1091,3.8322184085845947
1253,10,1253,2.162060022354126
159,11,159,2.8541855812072754
456,8,456,2.3565163612365723
5353,15,5353,2.5728530883789062
245,19,245,4.865249872207642
1333,13,1333,4.0081071853637695
718,17,718,2.982654571533203
1348,12,1348,3.773005723953247
2615,13,2615,3.7579867839813232
658,19,658,4.372117757797241
2282,21,2282,4.291113615036011
516,14,516,2.48020076751709
1667,21,1667,4.592371702194214
469,18,469,3.7140281200408936
2388,20,2388,3.296686887741089
3647,30,3647,4.521254539489746
1152,20,1152,4.677713632583618
630,10,630,2.683082342147827
2107,21,2107,4.28502082824707
807,17,807,2.804981231689453
2630,21,2630,3.392563819885254
1593,35,1593,4.194460153579712
915,9,915,2.9473655223846436
2616,28,2616,3.4727582931518555
2337,18,2337,2.4745516777038574
324,22,324,4.751876354217529
2666,17,2666,3.235440492630005
2709,23,2709,2.2874767780303955
994,23,994,4.350200414657593
2070,29,2070,3.984044313430786
406,20,406,2.646343231201172
2854,16,2854,3.996734142303467
715,17,715,1.9650647640228271
2069,16,2069,4.633525848388672
2351,20,2351,5.253390312194824
1643,31,1643,2.511029005050659
251,18,251,2.9866888523101807
1742,14,1742,3.007732391357422
824,16,824,4.483474016189575
993,16,993,3.7700159549713135
4466,21,4466,4.327425956726074
755,14,755,3.6403326988220215
1241,11,1241,3.8223724365234375
1169,26,1169,2.5915727615356445
933,14,933,3.981327772140503
1124,15,1124,2.379570722579956
1903,13,1903,4.952833652496338
320,6,320,3.792616605758667
2207,35,2207,3.4117395877838135
1196,16,1196,3.755488395690918
1725,17,1725,2.894390344619751
536,15,536,4.1154115200042725
661,12,661,4.2775774002075195
450,8,450,3.0747411251068115
2754,20,2754,4.353947877883911
1605,18,1605,2.8008053302764893
616,17,616,3.683310031890869
2552,22,2552,2.6125786304473877
5895,20,5895,5.178741216659546
691,18,691,5.144289255142212
450,9,450,3.5645949840545654
2289,5,2289,2.286499261856079
874,24,874,4.071008205413818
568,31,568,4.334362983703613
1864,13,1864,5.132519006729126
5809,29,5809,4.845520734786987
3668,18,3668,4.633852243423462
3093,6,3093,2.4485719203948975
762,8,762,3.7579562664031982
4944,23,4944,3.586130380630493
2048,19,2048,4.477958917617798
567,16,567,2.8781967163085938
1860,23,1860,2.5157082080841064
2662,15,2662,4.662858963012695
1965,24,1965,3.198605537414551
4278,14,4278,3.945732355117798
1167,19,1167,3.4180896282196045
3125,24,3125,4.270679235458374
3263,14,3263,4.879564046859741
5791,31,5791,3.738102912902832
3319,19,3319,3.2151167392730713
6209,8,6209,3.9902071952819824
448,11,448,2.969712972640991
2297,13,2297,5.18248724937439
1423,21,1423,2.5188887119293213
2770,25,2770,2.4997174739837646
378,20,378,3.7295074462890625
821,21,821,2.983027696609497
1888,22,1888,3.0098843574523926
430,8,430,2.411020517349243
1735,29,1735,3.4159460067749023
2700,19,2700,3.5763885974884033
1329,13,1329,3.4539284706115723
938,20,938,5.3237950801849365
816,20,816,3.571058988571167
2359,25,2359,3.366626024246216
520,27,520,4.0101847648620605
718,16,718,3.098297595977783
1334,16,1334,4.592638969421387
2590,26,2590,5.127306938171387
3525,28,3525,5.440721035003662
602,11,602,3.7214787006378174
988,13,988,2.7439329624176025
284,20,284,3.0377793312072754
2549,16,2549,3.5851805210113525
1946,25,1946,3.43332839012146
7144,24,7144,3.4147210121154785
287,26,287,3.378089427947998
2185,24,2185,4.162687063217163
916,23,916,3.977429151535034
1199,25,1199,3.08359432220459
8124,15,8124,3.4222989082336426
2713,15,2713,3.6626577377319336
401,9,401,3.519300699234009
279,7,279,3.130373001098633
2355,33,2355,3.3137385845184326
182,24,182,2.720693588256836
727,20,727,3.1764535903930664
908,11,908,3.152555465698242
2547,42,2547,4.77869987487793
2047,24,2047,4.28292179107666
2180,11,2180,4.067848443984985
2649,14,2649,3.1508636474609375
2846,7,2846,3.019491195678711
2967,15,2967,4.037475109100342
3711,9,3711,3.6032211780548096
1622,16,1622,3.049894332885742
2729,32,2729,3.5695013999938965
713,15,713,2.9032516479492188
729,20,729,3.4214060306549072
771,20,771,3.049506902694702
681,9,681,3.8687305450439453
2472,19,2472,3.9300971031188965
1901,12,1901,3.2526237964630127
428,2,428,3.1360042095184326
685,15,685,2.5722150802612305
1331,17,1331,2.838247537612915
374,12,374,3.1634628772735596
1047,9,1047,2.6599206924438477
3131,6,3131,2.454885482788086
7077,23,7077,4.08233380317688
2812,17,2812,2.821593999862671
1622,25,1622,3.671313762664795
4771,25,4771,3.550769090652466
2370,20,2370,2.237028121948242
2818,16,2818,3.385468006134033
5040,38,5040,5.360841274261475
376,16,376,4.963005542755127
1551,13,1551,2.8071324825286865
1505,25,1505,3.104918956756592
966,22,966,4.4424662590026855
728,23,728,4.8860321044921875
456,12,456,4.126238107681274
1618,10,1618,2.7357780933380127
1808,7,1808,2.0156137943267822
3089,34,3089,4.808987379074097
7620,24,7620,4.415732383728027
3338,14,3338,3.0328757762908936
993,16,993,3.93701434135437
392,7,392,2.60327410697937
538,28,538,3.293459415435791
1804,24,1804,3.3582441806793213
1002,6,1002,4.207281827926636
390,12,390,4.005696058273315
2446,24,2446,3.320283889770508
1986,9,1986,3.9296107292175293
1064,28,1064,3.1260337829589844
1072,16,1072,4.356841802597046
449,18,449,3.953843593597412
1081,22,1081,3.208515167236328
3306,21,3306,2.849079132080078
1093,12,1093,3.394620656967163
1689,19,1689,2.961751937866211
314,12,314,3.6440589427948
1140,22,1140,2.793494939804077
2133,22,2133,3.2296676635742188
1142,26,1142,4.59667706489563
360,18,360,3.9347312450408936
3874,15,3874,3.7362349033355713
400,11,400,2.7871503829956055
2024,19,2024,3.6722958087921143
4972,36,4972,3.2541966438293457
649,16,649,2.73443341255188
482,17,482,3.687351942062378
597,21,597,3.696089029312134
1386,16,1386,2.1557133197784424
1007,20,1007,3.6319165229797363
5012,29,5012,3.7387137413024902
1229,15,1229,3.795264959335327
1774,7,1774,3.3937299251556396
1642,15,1642,3.42093825340271
1435,22,1435,3.8995590209960938
367,12,367,3.24539852142334
4054,31,4054,5.120790958404541
1068,29,1068,2.4590466022491455
2534,26,2534,3.7048959732055664
1761,12,1761,2.3327887058258057
763,21,763,2.850163698196411
633,7,633,3.369382858276367
381,8,381,2.640770196914673
829,14,829,6.839138507843018
2078,25,2078,4.917477130889893
1117,17,1117,2.848365545272827
2181,22,2181,3.581616163253784
1257,18,1257,4.065382957458496
2497,20,2497,2.9536185264587402
2072,11,2072,4.036050319671631
2564,13,2564,2.3817098140716553
708,23,708,4.22784948348999
4559,16,4559,3.0267632007598877
1980,17,1980,5.839726448059082
2290,25,2290,3.6269357204437256
3148,12,3148,2.9515695571899414
1405,9,1405,4.220189809799194
1204,21,1204,3.5726606845855713
2060,24,2060,3.538092613220215
3636,29,3636,2.9774301052093506
6915,10,6915,5.912321090698242
312,2,312,3.3706817626953125
2770,19,2770,3.0282037258148193
1285,19,1285,2.195486307144165
796,11,796,3.5359559059143066
783,22,783,4.00029444694519
1919,15,1919,2.95226788520813
2201,22,2201,4.513327598571777
1491,11,1491,3.356410503387451
3946,23,3946,3.321012496948242
347,19,347,3.4914581775665283
5938,21,5938,3.2374789714813232
5489,39,5489,3.31453800201416
628,14,628,3.610369920730591
724,23,724,3.3525023460388184
3229,20,3229,2.5543620586395264
1342,21,1342,3.254452705383301
1231,18,1231,3.2931785583496094
1028,8,1028,2.522469997406006
2043,32,2043,4.330601215362549
288,9,288,3.3429534435272217
2779,12,2779,3.0423567295074463
3138,27,3138,2.947552442550659
715,20,715,4.774912118911743
1176,10,1176,3.3411688804626465
276,14,276,4.794792890548706
1448,20,1448,2.6464552879333496
5011,20,5011,2.604750871658325
400,9,400,5.856565952301025
645,20,645,2.7539708614349365
2391,40,2391,4.019557476043701
803,11,803,3.2880351543426514
300,6,300,2.637329578399658
1121,32,1121,3.4626150131225586
3270,29,3270,3.9741084575653076
498,13,498,2.1911230087280273
971,18,971,3.3399460315704346
1038,14,1038,2.700206756591797
1475,22,1475,3.641805648803711
558,14,558,2.849945545196533
830,34,830,2.713676691055298
1474,19,1474,3.2227420806884766
2527,32,2527,3.7816731929779053
2290,24,2290,4.537829160690308
937,32,937,4.462375164031982
796,4,796,4.603089809417725
4144,25,4144,3.412858724594116
282,10,282,3.145456075668335
286,19,286,3.0710113048553467
1519,27,1519,3.146355152130127
2602,17,2602,2.833350419998169
507,24,507,3.692458391189575
1911,19,1911,4.223034620285034
4798,29,4798,3.648273229598999
2070,12,2070,3.4905881881713867
2838,25,2838,4.605275869369507
1428,17,1428,3.7647199630737305
1402,8,1402,1.6928296089172363
448,19,448,2.6989569664001465
3164,30,3164,3.035109281539917
488,24,488,3.758289098739624
4622,17,4622,3.114718198776245
2900,22,2900,4.548156976699829
929,22,929,4.203032493591309
2528,26,2528,4.057007312774658
2515,24,2515,3.089888334274292
467,10,467,3.173783540725708
584,10,584,3.8963775634765625
6112,18,6112,3.633574962615967
724,21,724,2.985671281814575
2174,15,2174,4.147011756896973
458,16,458,2.956570863723755
2161,17,2161,2.755443572998047
1889,23,1889,2.719942808151245
694,22,694,2.9483261108398438
582,12,582,2.1815683841705322
4001,12,4001,3.322255849838257
761,20,761,3.1746816635131836
409,7,409,2.5103273391723633
2766,20,2766,3.206200361251831
2725,17,2725,3.0436227321624756
829,12,829,3.7306785583496094
3123,18,3123,2.9656777381896973
864,14,864,3.0399677753448486
2040,15,2040,2.208192825317383
3898,23,3898,5.4367241859436035
1083,17,1083,3.970979690551758
3400,16,3400,5.8334760665893555
836,21,836,3.2134976387023926
6751,25,6751,4.383424758911133
1300,14,1300,3.7685389518737793
398,26,398,1.5427217483520508
4595,33,4595,2.7809181213378906
1067,16,1067,2.4400603771209717
2150,10,2150,4.285397291183472
682,17,682,3.1840903759002686
503,10,503,3.2077722549438477
2226,22,2226,3.3195948600769043
527,13,527,2.086544990539551
2239,15,2239,3.471151828765869
1037,30,1037,3.1436543464660645
518,10,518,3.900989294052124
229,14,229,4.693965435028076
1198,30,1198,4.06314754486084
1223,20,1223,2.8257217407226562
5198,22,5198,5.985479354858398
2112,10,2112,3.5310351848602295
907,20,907,3.9451751708984375
1845,16,1845,2.9984519481658936
2090,18,2090,2.9967775344848633
466,7,466,2.1394197940826416
1480,21,1480,4.766325950622559
2568,17,2568,2.93466854095459
556,10,556,2.816943883895874
4300,11,4300,2.492004871368408
2373,22,2373,4.720311403274536
548,9,548,1.8384983539581299
2267,11,2267,3.3854727745056152
3584,13,3584,3.474313974380493
1762,18,1762,3.2441720962524414
3111,14,3111,2.9141218662261963
833,16,833,2.868309259414673
975,38,975,4.716869115829468
2201,19,2201,5.344971656799316
344,13,344,3.3183164596557617
661,14,661,4.299884557723999
445,25,445,2.0053114891052246
1439,23,1439,3.782252073287964
1163,7,1163,3.7156214714050293
1784,21,1784,4.310802459716797
5960,19,5960,4.549189805984497
454,11,454,2.7094998359680176
176,13,176,4.283952236175537
1969,16,1969,3.9133822917938232
496,15,496,3.753795623779297
3418,18,3418,4.706037759780884
777,23,777,2.909388542175293
3012,18,3012,4.438693523406982
2969,24,2969,2.0455703735351562
4672,22,4672,4.3327953815460205
1459,35,1459,2.5552680492401123
6126,23,6126,4.407061576843262
670,17,670,3.162200927734375
488,8,488,3.530097484588623
453,10,453,3.0995001792907715
2643,27,2643,3.6863439083099365
137,10,137,5.104897975921631
1448,14,1448,3.8498101234436035
1433,17,1433,3.2858526706695557
523,25,523,2.992912769317627
804,8,804,3.4146366119384766
3821,23,3821,4.357721567153931
242,15,242,3.380676031112671
5517,19,5517,4.252161264419556
811,18,811,2.0935590267181396
2198,20,2198,4.020441055297852
1678,16,1678,2.5567610263824463
1181,32,1181,3.705836057662964
1164,11,1164,3.075673818588257
437,13,437,3.9956560134887695
747,11,747,4.557027578353882
2328,22,2328,3.843456268310547
1803,19,1803,3.4274537563323975
2507,11,2507,3.165933847427368
1520,31,1520,3.740140914916992
757,13,757,3.0029494762420654
3394,12,3394,3.1914350986480713
2771,26,2771,3.4543893337249756
982,21,982,4.9733922481536865
