Moves,Collisions
1876,96
3693,142
1256,69
724,54
1433,93
636,60
1632,86
917,77
759,76
1335,89
864,72
1176,72
1652,79
2000,74
1238,69
282,47
1790,86
1020,95
257,31
1293,105
253,47
1700,74
4876,173
4367,163
634,59
4704,152
2953,133
2651,110
502,64
3098,100
368,61
590,83
4769,140
1010,88
4279,133
4133,149
2092,110
2863,106
690,71
6599,226
311,42
1676,88
980,68
4165,123
382,44
3083,110
1144,46
2560,98
3392,135
1837,88
2531,134
4157,155
4298,165
2286,135
1836,83
3770,147
1268,61
423,47
2456,82
1199,52
935,58
918,77
1448,65
988,53
3069,111
1120,88
349,55
1416,85
5145,162
556,76
2202,85
3060,128
1506,85
585,70
770,45
1522,120
4120,109
578,77
3035,107
2282,90
355,40
1082,74
404,41
718,48
205,47
648,71
803,65
2739,98
385,49
596,72
969,62
1410,66
1241,90
4020,138
1828,74
583,77
1076,76
2139,109
602,56
1091,65
667,53
1434,77
2340,123
1842,62
1542,82
2567,99
665,30
4078,156
322,28
1625,68
507,54
292,47
2681,117
1441,66
1736,84
922,51
1401,62
631,58
1048,69
291,36
1289,69
709,98
522,60
1316,116
396,64
3680,104
1237,86
832,64
1152,87
616,58
491,62
413,69
833,102
3752,102
872,46
1119,75
827,42
5944,192
2401,105
2562,88
542,104
423,68
2001,88
4950,135
2865,145
870,67
2346,86
3238,152
3607,169
1693,89
2019,110
803,50
1096,40
2393,136
1035,85
4303,130
312,61
3568,110
1605,78
9648,341
527,42
2829,113
4224,168
2791,95
190,27
1437,75
4809,138
1416,68
812,66
1814,109
452,48
755,47
704,61
943,53
741,58
1205,89
1903,80
808,97
115,32
2371,99
1206,66
3002,130
478,63
419,58
569,55
610,34
1017,93
3863,168
667,67
5308,199
6850,234
1294,84
881,54
3372,89
2264,119
3387,140
4033,137
1168,59
2704,144
853,57
1064,83
1077,74
561,68
2836,116
1490,56
739,72
3518,119
4495,157
918,84
355,51
3562,132
801,50
1383,61
664,62
893,84
1448,99
3457,121
223,34
1235,95
923,72
2786,110
185,29
2870,144
1828,86
842,39
818,49
4695,125
2190,90
356,57
3253,113
838,67
3156,137
3468,153
5317,174
397,46
3087,113
519,61
1911,76
1377,61
4461,123
4274,173
1067,62
941,68
1041,71
182,30
1849,83
4576,146
417,48
210,45
1057,58
2291,94
1008,51
847,78
1499,121
1517,48
1504,93
2114,80
486,77
3940,129
577,72
763,94
12804,389
346,66
4757,200
897,66
2109,97
591,54
1177,53
1604,69
2043,111
2312,80
781,72
1443,75
1480,80
4118,127
2430,119
1316,45
2632,85
3022,102
217,32
635,43
1996,94
5601,185
240,17
1231,95
754,114
915,59
3566,129
550,67
318,55
4320,129
459,63
4475,125
253,40
539,57
1201,62
272,67
1251,76
4137,191
356,35
2587,125
1548,95
4552,159
1074,63
913,66
413,32
5475,166
557,46
5701,204
223,31
464,83
1076,53
1875,143
727,88
1030,53
306,42
1383,78
1969,67
853,61
686,62
1669,96
1868,81
1499,86
1727,88
700,36
771,68
1333,72
464,44
749,51
886,71
219,50
440,63
3970,118
693,54
875,74
666,53
1177,79
2003,102
2481,88
1074,65
2129,71
671,39
1292,84
378,34
429,46
2135,110
4943,153
1456,57
2686,112
1958,76
260,37
2579,110
2196,102
1113,87
2252,82
1198,71
2625,104
2714,121
1535,95
1786,75
969,73
8042,232
827,81
829,69
421,61
683,63
7965,249
1016,62
1311,81
1085,93
901,95
1126,68
1143,53
1085,71
2843,102
555,67
893,66
1269,103
105,34
1484,102
1002,94
1474,65
934,88
2269,115
4345,175
962,70
2181,89
248,50
403,43
1317,90
548,55
454,75
2922,143
4475,130
483,50
1130,83
1124,39
1526,83
835,90
1704,76
1716,78
1421,78
852,82
2302,91
3792,134
1777,93
