Moves,Collisions
928,65
872,80
2830,137
2751,137
322,40
1335,83
2528,108
1698,75
2603,99
151,53
949,67
4012,155
948,97
2822,104
1031,71
265,72
1470,86
378,81
2737,114
738,66
778,65
3275,118
222,42
4138,159
1436,80
732,68
548,68
1348,86
2398,121
742,89
3552,153
1201,96
293,55
2649,143
2175,115
795,82
1731,66
1728,109
1574,88
411,38
648,66
2792,137
1223,99
2296,105
1056,60
1212,69
671,73
206,47
2219,117
1517,55
332,48
913,64
3724,166
953,47
3672,149
914,60
795,81
1139,98
2973,178
3102,153
882,59
1135,68
2553,105
2125,85
458,57
731,72
7461,238
336,65
874,70
4109,166
718,93
1581,80
5151,174
911,88
1267,89
933,52
2973,122
2307,118
3195,135
1044,102
2955,151
2121,84
5479,199
3786,132
371,41
2533,91
1026,99
3765,162
950,69
1742,53
1056,87
933,72
3203,133
491,64
728,65
487,66
803,40
3562,132
710,63
1559,94
324,84
1057,86
683,80
785,79
338,66
686,107
1614,77
120,39
2508,118
5252,157
1729,98
1040,78
470,48
2408,106
1543,76
965,76
808,53
740,75
2056,121
695,77
1430,83
3091,107
1657,91
383,74
1194,87
1152,58
214,39
582,65
1994,112
1275,85
499,59
2466,112
1119,68
5974,208
4458,160
708,79
3532,157
2517,116
784,70
2296,78
301,49
700,76
8149,313
3402,154
880,78
292,49
1451,57
475,54
2924,112
621,67
234,50
3321,135
2029,121
997,72
1158,79
1406,80
1034,94
1737,101
933,71
758,39
2564,105
1926,118
1765,86
2911,119
3069,135
863,51
326,48
468,50
6966,223
557,57
5108,187
2169,111
702,58
689,71
1529,131
3106,119
1629,71
1020,111
574,95
451,58
2111,75
1272,76
1015,66
4328,192
375,39
905,73
309,60
1546,95
3587,130
1991,123
477,64
2829,87
640,67
2095,105
1634,112
564,76
1827,98
473,72
2231,110
439,82
897,68
1675,112
3451,135
5874,210
225,41
1317,115
2423,106
4731,141
760,77
1933,97
1194,83
3623,119
2562,136
352,64
1689,88
907,70
511,76
4378,155
1043,75
232,41
339,73
6416,194
804,82
1560,73
720,57
1805,110
4220,157
1576,66
1628,87
3426,141
1989,97
1406,80
4893,197
2825,122
566,59
273,39
3768,114
499,70
1020,72
848,69
1430,82
990,77
542,72
1623,105
1038,76
332,56
1595,99
3798,155
5809,193
2078,91
2233,93
7241,208
418,54
972,86
889,94
3944,149
2437,116
885,92
387,59
1870,101
639,65
6923,268
4324,163
2510,123
5823,185
2998,119
759,61
472,74
649,66
560,63
2705,112
2737,149
589,54
1830,77
2186,159
2797,117
1343,72
716,52
765,85
468,51
1270,96
1109,80
1630,73
481,52
2034,101
1217,110
2814,130
184,43
2048,101
2818,114
2511,99
1972,88
1766,65
1201,69
108,40
2435,120
5250,153
2437,88
1939,94
8608,303
1626,97
2952,119
1575,99
3535,145
520,42
1703,130
1939,91
1061,70
1103,92
2126,94
3909,148
1560,90
1668,102
1349,88
794,38
1270,97
2586,115
855,76
1375,84
206,40
1969,105
864,73
3950,144
1871,88
1309,84
143,54
1365,79
1411,82
264,58
981,101
507,48
1375,74
1304,115
3228,160
1081,53
697,85
842,76
4188,187
6750,199
899,62
362,98
467,44
435,68
4350,136
1587,92
1050,98
3920,160
1855,93
