Timesteps,Collisions,Steps Waited,Real-Time Elapsed
1119,8,1119,3.800475597381592
1172,9,1172,3.0598995685577393
769,14,769,3.013714075088501
862,10,862,3.967393398284912
524,16,524,3.1807148456573486
1345,16,1345,3.368475914001465
3586,23,3586,3.1787540912628174
3314,13,3314,3.546290397644043
311,9,311,2.795346260070801
2037,13,2037,2.6886649131774902
381,9,381,3.059091806411743
520,12,520,2.4403021335601807
805,16,805,3.0273263454437256
1794,16,1794,3.159658908843994
862,12,862,3.3835155963897705
5077,12,5077,3.407684326171875
4911,12,4911,3.2787559032440186
653,23,653,2.647195816040039
1840,10,1840,2.5771734714508057
1719,9,1719,1.0746252536773682
527,18,527,2.6994030475616455
553,4,553,3.3560068607330322
613,8,613,2.52475643157959
1130,12,1130,2.155817985534668
795,10,795,2.030521869659424
1947,22,1947,4.08448338508606
1639,18,1639,2.464893102645874
4936,10,4936,2.7251553535461426
257,19,257,1.5719268321990967
1893,14,1893,2.323617935180664
1997,19,1997,2.499631643295288
524,10,524,5.1030731201171875
521,13,521,3.7566440105438232
703,19,703,3.2372710704803467
1545,17,1545,3.395420551300049
8276,17,8276,3.199202299118042
566,17,566,2.0921008586883545
1234,8,1234,2.710991621017456
1318,18,1318,2.6186418533325195
408,8,408,2.749396562576294
1425,10,1425,2.0222277641296387
1370,19,1370,1.813842535018921
2310,22,2310,2.760037660598755
1296,9,1296,2.15263295173645
1552,18,1552,3.217028856277466
3922,18,3922,3.8573553562164307
217,10,217,3.8763840198516846
5872,18,5872,3.5113372802734375
1276,18,1276,3.333839178085327
2769,18,2769,3.0488643646240234
5225,12,5225,2.6492841243743896
1733,11,1733,2.3866665363311768
1206,30,1206,2.2547342777252197
3036,22,3036,2.5617308616638184
2478,24,2478,3.6165099143981934
1279,10,1279,2.702486991882324
1181,18,1181,2.6894993782043457
580,18,580,2.6142303943634033
7281,19,7281,4.000539302825928
2140,16,2140,2.945159673690796
2147,14,2147,3.173476219177246
1067,11,1067,2.3622703552246094
123,6,123,3.240025043487549
756,10,756,4.043476819992065
977,11,977,3.727935314178467
948,19,948,2.061549663543701
1123,37,1123,2.4465205669403076
306,10,306,3.206650733947754
258,6,258,3.127060890197754
388,12,388,2.2449722290039062
1982,18,1982,3.347627878189087
2527,7,2527,3.0843005180358887
1543,14,1543,3.016995429992676
6508,17,6508,3.7654354572296143
1155,17,1155,3.5940067768096924
1127,15,1127,4.0796825885772705
3271,22,3271,2.1337876319885254
4898,15,4898,4.255269765853882
2023,15,2023,2.262320041656494
1973,11,1973,2.3237762451171875
939,18,939,1.68924880027771
710,16,710,2.9977293014526367
530,12,530,2.807631254196167
1215,23,1215,2.535942554473877
374,16,374,2.0554845333099365
1341,14,1341,3.598524332046509
2496,10,2496,2.2219905853271484
474,15,474,3.1984329223632812
1894,21,1894,3.45920991897583
805,12,805,2.2135517597198486
2932,12,2932,2.3585898876190186
985,30,985,2.9178059101104736
2751,15,2751,5.4113147258758545
2925,19,2925,4.477611064910889
179,9,179,2.549075126647949
521,16,521,3.822373151779175
2721,12,2721,3.172267436981201
666,12,666,2.201611042022705
291,11,291,2.6817476749420166
4029,30,4029,4.7684619426727295
7118,25,7118,4.944342613220215
4525,24,4525,3.428354263305664
13302,21,13302,4.731473445892334
446,21,446,2.2729673385620117
2950,27,2950,3.3871958255767822
2027,26,2027,4.016535520553589
3088,13,3088,2.7792675495147705
793,11,793,1.9179456233978271
2557,20,2557,3.394315719604492
3358,15,3358,3.557387113571167
1253,28,1253,3.274512529373169
3210,14,3210,2.8235130310058594
825,20,825,2.0109190940856934
1475,15,1475,2.440960645675659
1628,16,1628,4.110041618347168
1855,13,1855,3.984276294708252
1053,7,1053,1.804713249206543
1590,9,1590,4.626362085342407
328,12,328,3.89281964302063
362,15,362,3.1543118953704834
1926,8,1926,2.9768073558807373
479,8,479,2.5061779022216797
9226,15,9226,4.028083562850952
3280,27,3280,3.9618072509765625
543,15,543,2.774416208267212
194,11,194,3.188917636871338
560,7,560,2.149641275405884
1646,14,1646,3.8721494674682617
2254,10,2254,3.444840431213379
318,4,318,2.4142446517944336
2778,9,2778,2.1576480865478516
2558,21,2558,3.4912455081939697
985,20,985,2.833125591278076
3702,21,3702,2.5593199729919434
1096,16,1096,1.8539118766784668
769,20,769,2.9054291248321533
2583,9,2583,4.964891672134399
2436,28,2436,3.3477365970611572
843,11,843,4.22791051864624
1737,30,1737,2.784067153930664
763,12,763,2.3930141925811768
2218,22,2218,2.481092691421509
655,13,655,3.686278820037842
819,23,819,2.391181707382202
3992,12,3992,2.757903575897217
3460,19,3460,4.950124740600586
1769,19,1769,2.5927622318267822
911,12,911,2.801285743713379
2681,15,2681,3.6796040534973145
2398,11,2398,2.572883367538452
2714,16,2714,2.2554163932800293
2988,28,2988,3.1504156589508057
6543,18,6543,2.6645708084106445
1693,23,1693,2.5935397148132324
153,2,153,2.624911069869995
1377,18,1377,2.907686471939087
1003,17,1003,2.5643298625946045
287,8,287,2.7139461040496826
1320,7,1320,2.647710084915161
2268,19,2268,4.220499277114868
