Timesteps,Collisions,Steps Waited,Real-Time Elapsed
46.0,13.0,13.0,0.05320858955383301
72.0,8.0,8.0,0.08392214775085449
47.0,12.0,12.0,0.03772568702697754
140.0,38.0,38.0,0.13472223281860352
47.0,13.0,13.0,0.04426121711730957
97.0,31.0,31.0,0.07769989967346191
84.0,22.0,22.0,0.07732868194580078
26.0,11.0,11.0,0.024925708770751953
19.0,8.0,8.0,0.02291584014892578
79.0,10.0,10.0,0.09302282333374023
51.0,21.0,21.0,0.0562138557434082
65.0,32.0,32.0,0.07659101486206055
26.0,11.0,11.0,0.03179311752319336
29.0,7.0,7.0,0.026183605194091797
81.0,33.0,33.0,0.09560418128967285
58.0,16.0,16.0,0.05675959587097168
35.0,9.0,9.0,0.028378963470458984
110.0,26.0,26.0,0.12860393524169922
29.0,12.0,12.0,0.041881561279296875
89.0,32.0,32.0,0.09070849418640137
55.0,12.0,12.0,0.06624269485473633
38.0,13.0,13.0,0.04310154914855957
29.0,10.0,10.0,0.026171445846557617
40.0,9.0,9.0,0.041176795959472656
21.0,11.0,11.0,0.018518686294555664
43.0,14.0,14.0,0.035533905029296875
31.0,14.0,14.0,0.024286746978759766
101.0,30.0,30.0,0.09664511680603027
106.0,29.0,29.0,0.102783203125
96.0,29.0,29.0,0.09679245948791504
117.0,31.0,31.0,0.10168170928955078
31.0,3.0,3.0,0.022911548614501953
57.0,28.0,28.0,0.04596686363220215
33.0,13.0,13.0,0.025297880172729492
22.0,11.0,11.0,0.01841449737548828
54.0,20.0,20.0,0.05985617637634277
59.0,16.0,16.0,0.04734444618225098
140.0,41.0,41.0,0.13828682899475098
52.0,13.0,13.0,0.045305490493774414
42.0,13.0,13.0,0.04207921028137207
72.0,17.0,17.0,0.06786990165710449
33.0,10.0,10.0,0.03430819511413574
88.0,21.0,21.0,0.0971977710723877
31.0,12.0,12.0,0.03424334526062012
36.0,15.0,15.0,0.02765488624572754
18.0,4.0,4.0,0.019622087478637695
35.0,18.0,18.0,0.03466463088989258
18.0,4.0,4.0,0.015718936920166016
95.0,34.0,34.0,0.09641170501708984
90.0,27.0,27.0,0.09940266609191895
99.0,48.0,48.0,0.10259294509887695
64.0,24.0,24.0,0.06639719009399414
140.0,43.0,43.0,0.13751649856567383
63.0,14.0,14.0,0.07387828826904297
40.0,13.0,13.0,0.04873490333557129
119.0,42.0,42.0,0.13468480110168457
17.0,6.0,6.0,0.019953250885009766
94.0,31.0,31.0,0.09439897537231445
44.0,14.0,14.0,0.037007808685302734
34.0,10.0,10.0,0.03436589241027832
64.0,21.0,21.0,0.06146740913391113
39.0,14.0,14.0,0.035805702209472656
88.0,31.0,31.0,0.09147500991821289
39.0,22.0,22.0,0.036514997482299805
66.0,23.0,23.0,0.06956934928894043
43.0,26.0,26.0,0.04190516471862793
113.0,34.0,34.0,0.11465048789978027
95.0,25.0,25.0,0.0939490795135498
54.0,14.0,14.0,0.04773855209350586
45.0,24.0,24.0,0.04448223114013672
52.0,16.0,16.0,0.03672671318054199
20.0,8.0,8.0,0.012911558151245117
65.0,15.0,15.0,0.049462318420410156
90.0,27.0,27.0,0.06989145278930664
44.0,20.0,20.0,0.04065084457397461
27.0,10.0,10.0,0.028208255767822266
36.0,11.0,11.0,0.0365755558013916
49.0,13.0,13.0,0.05141329765319824
21.0,10.0,10.0,0.021781444549560547
187.0,65.0,65.0,0.18153667449951172
160.0,38.0,38.0,0.15178251266479492
18.0,6.0,6.0,0.023085355758666992
43.0,12.0,12.0,0.03795433044433594
35.0,13.0,13.0,0.032347679138183594
40.0,14.0,14.0,0.031054019927978516
35.0,13.0,13.0,0.030272245407104492
51.0,12.0,12.0,0.04703354835510254
30.0,10.0,10.0,0.03454256057739258
61.0,25.0,25.0,0.05460095405578613
132.0,31.0,31.0,0.108123779296875
28.0,11.0,11.0,0.02123093605041504
52.0,13.0,13.0,0.0431981086730957
26.0,12.0,12.0,0.018329858779907227
22.0,10.0,10.0,0.023047685623168945
33.0,12.0,12.0,0.039063453674316406
184.0,63.0,63.0,0.19573020935058594
67.0,22.0,22.0,0.08313679695129395
68.0,23.0,23.0,0.060272932052612305
24.0,10.0,10.0,0.02409982681274414
202.0,73.0,73.0,0.19034886360168457
63.0,24.0,24.0,0.061101675033569336
35.0,11.0,11.0,0.03095245361328125
30.0,14.0,14.0,0.02759385108947754
20.0,9.0,9.0,0.023261308670043945
120.0,21.0,21.0,0.12460494041442871
75.0,36.0,36.0,0.06364226341247559
31.0,16.0,16.0,0.03416013717651367
27.0,8.0,8.0,0.03720378875732422
57.0,24.0,24.0,0.06993770599365234
28.0,13.0,13.0,0.030653715133666992
65.0,19.0,19.0,0.08110475540161133
71.0,16.0,16.0,0.0701291561126709
94.0,19.0,19.0,0.10986661911010742
101.0,31.0,31.0,0.11808562278747559
58.0,15.0,15.0,0.06129765510559082
50.0,13.0,13.0,0.055029869079589844
16.0,4.0,4.0,0.01661205291748047
73.0,26.0,26.0,0.09016752243041992
38.0,6.0,6.0,0.03511643409729004
22.0,10.0,10.0,0.024300575256347656
26.0,13.0,13.0,0.027318239212036133
79.0,14.0,14.0,0.0826423168182373
86.0,20.0,20.0,0.10387420654296875
57.0,25.0,25.0,0.06083393096923828
24.0,4.0,4.0,0.02601313591003418
46.0,19.0,19.0,0.047701358795166016
70.0,23.0,23.0,0.07859444618225098
23.0,9.0,9.0,0.030843496322631836
76.0,37.0,37.0,0.09241342544555664
77.0,26.0,26.0,0.09354948997497559
81.0,19.0,19.0,0.0962221622467041
25.0,14.0,14.0,0.028974056243896484
25.0,6.0,6.0,0.026081562042236328
97.0,36.0,36.0,0.10006141662597656
49.0,16.0,16.0,0.05896902084350586
60.0,18.0,18.0,0.0590977668762207
24.0,6.0,6.0,0.02204442024230957
29.0,11.0,11.0,0.032770395278930664
36.0,15.0,15.0,0.040139198303222656
82.0,29.0,29.0,0.07993388175964355
94.0,30.0,30.0,0.10043215751647949
26.0,11.0,11.0,0.028093338012695312
32.0,11.0,11.0,0.030078887939453125
22.0,9.0,9.0,0.01998758316040039
20.0,7.0,7.0,0.015024185180664062
36.0,20.0,20.0,0.03706097602844238
57.0,23.0,23.0,0.05079054832458496
97.0,31.0,31.0,0.10084152221679688
26.0,6.0,6.0,0.03392314910888672
66.0,19.0,19.0,0.06490540504455566
85.0,29.0,29.0,0.0912771224975586
41.0,13.0,13.0,0.03415989875793457
53.0,19.0,19.0,0.04558897018432617
41.0,20.0,20.0,0.04031515121459961
57.0,36.0,36.0,0.05900907516479492
34.0,11.0,11.0,0.03348827362060547
23.0,6.0,6.0,0.02314138412475586
43.0,14.0,14.0,0.038147687911987305
142.0,39.0,39.0,0.14480829238891602
66.0,29.0,29.0,0.06145453453063965
86.0,19.0,19.0,0.08035063743591309
34.0,13.0,13.0,0.038759469985961914
62.0,22.0,22.0,0.0699310302734375
46.0,12.0,12.0,0.039830923080444336
181.0,53.0,53.0,0.17215585708618164
158.0,48.0,48.0,0.17583656311035156
24.0,10.0,10.0,0.03098607063293457
48.0,25.0,25.0,0.05629706382751465
44.0,23.0,23.0,0.03642702102661133
43.0,12.0,12.0,0.04465317726135254
27.0,11.0,11.0,0.0289614200592041
147.0,42.0,42.0,0.21996665000915527
48.0,19.0,19.0,0.04026651382446289
60.0,19.0,19.0,0.04393148422241211
21.0,8.0,8.0,0.01816391944885254
31.0,14.0,14.0,0.028283119201660156
38.0,7.0,7.0,0.032121896743774414
84.0,21.0,21.0,0.07853317260742188
50.0,14.0,14.0,0.048037052154541016
143.0,39.0,39.0,0.12006998062133789
130.0,37.0,37.0,0.10030293464660645
163.0,35.0,35.0,0.13557052612304688
56.0,20.0,20.0,0.05161881446838379
54.0,16.0,16.0,0.047817230224609375
23.0,11.0,11.0,0.024646520614624023
30.0,7.0,7.0,0.023489713668823242
45.0,13.0,13.0,0.04322338104248047
60.0,25.0,25.0,0.053069114685058594
56.0,12.0,12.0,0.05998587608337402
102.0,18.0,18.0,0.07917141914367676
92.0,39.0,39.0,0.08760714530944824
58.0,16.0,16.0,0.05972766876220703
47.0,16.0,16.0,0.041359901428222656
72.0,23.0,23.0,0.07337546348571777
54.0,15.0,15.0,0.05122804641723633
72.0,21.0,21.0,0.07719898223876953
51.0,15.0,15.0,0.04376983642578125
35.0,13.0,13.0,0.04148507118225098
77.0,19.0,19.0,0.06804418563842773
42.0,22.0,22.0,0.04208731651306152
40.0,15.0,15.0,0.04717421531677246
49.0,9.0,9.0,0.05374956130981445
49.0,14.0,14.0,0.04877305030822754
57.0,18.0,18.0,0.06213521957397461
119.0,37.0,37.0,0.11672568321228027
39.0,11.0,11.0,0.03589963912963867
30.0,12.0,12.0,0.027501821517944336
106.0,45.0,45.0,0.09058213233947754
25.0,11.0,11.0,0.027232646942138672
16.0,4.0,4.0,0.014897346496582031
18.0,6.0,6.0,0.021959304809570312
37.0,18.0,18.0,0.02768707275390625
33.0,15.0,15.0,0.026126861572265625
16.0,5.0,5.0,0.015527963638305664
35.0,13.0,13.0,0.02971196174621582
28.0,11.0,11.0,0.02577066421508789
65.0,16.0,16.0,0.05648374557495117
26.0,9.0,9.0,0.01858973503112793
134.0,31.0,31.0,0.12765264511108398
120.0,42.0,42.0,0.10399246215820312
40.0,17.0,17.0,0.03856039047241211
34.0,12.0,12.0,0.024488210678100586
27.0,14.0,14.0,0.0205843448638916
72.0,10.0,10.0,0.054204702377319336
20.0,8.0,8.0,0.013537168502807617
68.0,14.0,14.0,0.058244943618774414
